RA_ICRS,DE_ICRS,ra_error,dec_error,Plx,parallax_error,pmRA,pmra_error,pmDE,pmdec_error,Gmag,BP_RP,r_est,r_lo,r_hi
124.79672955468371,-38.296132947030344,0.896999006412991,1.5166024629549864,-0.030777441666421206,1.5540888074984247,1.804921543392108,2.089211449410327,12.65195887392277,4.501431298934545,20.770544,1.8316936000000001,2774.5330905463106,1256.93037216974,5297.00548010982
124.831700863049,-38.33590697528293,0.8227064453475218,1.0055093454929829,-0.8310076755335707,1.2269435340325878,-2.852467285748052,1.6575556486731566,2.820429679982078,2.0121682712368467,20.69449,,3035.03645081966,1499.8797759966299,5560.4695811459
124.8291540129577,-38.333622549741314,0.3153224952992629,0.3886010151596125,-0.3918914222435306,0.4724266949508785,-3.8229863530375083,0.6756405584160646,1.2012491984588105,0.6913569934993118,19.956041,,3725.908681845129,2163.73172725231,6247.13112927783
124.83012311037956,-38.3341042495413,0.5678460093693858,0.6497120895017268,0.0796388521942488,0.8730287782746802,-3.766674817379181,1.2193578484577827,0.8526006860449349,1.0677064208956633,20.535517000000002,,2851.11154634337,1386.6150633273098,5341.5849590730395
124.82577197528092,-38.33929058102791,0.1405170452863067,0.1669531502217428,0.08205715169028716,0.205399987783408,-6.052782036769064,0.3016145304396589,7.747768189286767,0.2940000355658604,18.751542999999998,1.8199406000000002,3897.61178765985,2494.71188701042,6285.586712437161
124.79752240422896,-38.30194269295493,0.3039945058105136,0.4224865033697029,0.5392719788336288,0.4831809607153628,-2.7686198037072067,0.6667491608200529,1.7522004807383749,0.7647374228197363,19.884369,,2350.47997125603,1198.39122755628,4720.94271434067
124.80748458856728,-38.308865014779784,0.3764720827364461,0.4835859292042854,0.8072995698160924,0.5862971462110357,-3.098548936218518,0.8209276570558385,2.3900927489109303,0.8138918581165749,20.105104,1.6118431,2035.3254973096398,956.1306871817591,4431.11792084294
124.8355311693474,-38.3349715279661,0.7941392239197447,0.7774437692639967,1.363291243843652,0.9451449142317628,-1.4467905976895152,1.7367319373359595,1.1009861887812966,1.642714372764526,20.608452,1.8641033,2030.13672640477,775.0409516661,4456.8795879235295
124.81715955949848,-38.320962235500375,0.4703456238666125,0.5530537526932656,0.99162905627136,0.6881981298632585,-8.179636380272976,1.0308780131598598,2.3130596400954127,0.9687925031162272,20.460281,1.5694313,1958.56976986774,857.364301427379,4374.30191726645
124.82819461740087,-38.33991252099789,0.15192097718516442,0.1832104451118732,0.07754282889350632,0.22366991102237815,-3.1954909902677,0.3311642908102566,3.6759795370684762,0.3167925987616889,18.829615,1.7525997,3808.2054589264294,2415.88039241437,6169.33791636527
124.82841739082005,-38.33883563811049,0.8074024037772191,0.9157197735546038,1.1641992785416309,1.1148554324588456,-0.8398952794111583,1.6422606495198746,2.4591651865918043,1.8371053165157367,20.68841,1.8209438000000002,2346.2966904188697,948.263378098716,4795.02506472934
124.83307109791248,-38.34057959961289,0.6176290574497811,0.7860601835322343,0.22763250403258645,0.9511153360699034,-4.989761605696126,1.4037296417183285,2.9987050726842663,1.4258798214450965,20.631075,1.700119,2758.31401569789,1298.8430938946499,5250.91326303086
124.79833551359677,-38.29963094616354,0.10608189921542248,0.1376702891845494,0.3911782039721204,0.16133468986789462,-2.9959139289582475,0.23407048734391644,2.7411541884448027,0.2443015377000845,18.320835,1.8160933999999997,2449.3640553248397,1692.0711428641,4000.8613523557106
124.79547280966213,-38.296090629685935,0.15445581341149647,0.1797533059452045,0.18918439250345595,0.21828783699252946,-3.0958508917664536,0.3477379348213386,3.1466719494273203,0.3360249066895864,18.837744,1.7592697,3366.15398856582,2114.93919727423,5647.79691999744
124.80024726227323,-38.29568668501133,0.20081377882705453,0.2546586915588601,1.0556912330006285,0.29936768709323563,-0.8905541773000875,0.4546920761323401,1.7598078673801925,0.4591364341109975,19.222927,2.9762763999999997,1030.43969273277,712.6816385160271,1818.4084993157398
124.83638478489344,-38.338312965078174,0.0458052139643397,0.04978732583622845,-0.001251194062519479,0.06155857020934865,-2.425076600806003,0.09943888984886932,2.749387567195087,0.09028664557525264,14.092966,3.1593199,7586.74328636529,5784.08677193703,10158.9551743058
124.78976606610658,-38.294867857286455,0.3911085000863619,0.4822639067467761,2.5689077520689527,0.5959934655886394,-2.3213116167614998,0.9374705706191132,2.688984358596448,0.8772608453517294,20.110636,2.1975403,426.886358940597,307.532602953746,701.4352423250259
124.83142808781857,-38.335512554306895,0.2859056853338481,0.32545785619449896,0.13549589973139878,0.4127340231115958,-2.2105023098759142,0.615407427310927,2.272031087835571,0.5541275062778976,19.7156,1.8848171000000002,3103.47556726566,1728.48217496227,5534.7854843471705
124.82966365447169,-38.33384706434069,0.22330922400792091,0.265459346541987,0.004653044329758745,0.3367639586375637,-2.3707607822550867,0.4937360043393588,2.9070887719854883,0.457885875370881,19.42166,1.7577801,3538.45245246867,2088.61459033734,5998.299142679621
124.79758639163455,-38.30034607125465,0.9397181994330192,1.3014785146173675,-2.2109795607522402,1.3867143750671191,-4.954335621641087,2.093940873981538,9.657993106827401,2.3895721156546643,20.84092,1.2825183999999998,3241.65107953368,1667.6454604933701,5786.94728054932
124.79765606665548,-38.298635921893,0.4304869778424824,0.5727118114423281,-0.4259735050793671,0.6978534342346299,1.4118823219824468,0.9368285961485434,-0.3481309213243571,0.9892671419566132,20.289751000000003,1.915266,3292.0964218768895,1766.76494604758,5803.62791620914
124.79437318230256,-38.29024317257893,0.5375202915857434,1.4412357222809091,-1.4304200901149462,0.9334517001986294,-3.964331880521065,1.3164276591983268,9.315113164726856,2.9060421136076395,20.359228,,3458.7758398926503,1872.0678616939701,6008.008695947161
124.80462871629676,-38.30146211107736,0.11895406865040176,0.15037254875709774,0.7547821918897952,0.17318544854066528,-3.4030871370590083,0.24818017529932201,-0.17496891612680893,0.3238398321092825,18.379316,1.7443123,1345.38964112027,1048.30609141176,1862.94608326999
